timestamp,case_name,port_type,target_module_name,port_name,target_frame,base_frame,source,sample_id,gt_x_m,gt_y_m,gt_z_m,pred_x_m,pred_y_m,pred_z_m,dx_m,dy_m,dz_m,dx_mm,dy_mm,dz_mm,abs_dx_mm,abs_dy_mm,abs_dz_mm,error_3d_m,error_3d_mm
1782114121.738436,case_01_sfp_rail0_port0_left,sfp,nic_card_mount_0,sfp_port_0,task_board/nic_card_mount_0/sfp_port_0_link_entrance,base_link,/final_policy/triangulated_port_xyz,1,-0.4441594624637954,0.2117713277644392,0.17927239948576945,-0.44524561746640084,0.21065395610805465,0.17672737361833568,-0.001086155002605449,-0.001117371656384536,-0.00254502586743377,-1.086155002605449,-1.117371656384536,-2.54502586743377,1.086155002605449,1.117371656384536,2.54502586743377,0.002984193152944926,2.984193152944926
1782114129.524337,case_02_sfp_rail1_port1_center,sfp,nic_card_mount_1,sfp_port_1,task_board/nic_card_mount_1/sfp_port_1_link_entrance,base_link,/final_policy/triangulated_port_xyz,2,-0.4435314808846518,0.2534854364604211,0.17927239904472536,-0.44413645183060846,0.25214121365117365,0.16748947146749774,-0.0006049709459566843,-0.0013442228092474529,-0.011782927577227625,-0.6049709459566843,-1.3442228092474529,-11.782927577227625,0.6049709459566843,1.3442228092474529,11.782927577227625,0.011874776086164492,11.874776086164493
1782114139.562477,case_03_sfp_rail2_port0_far_yaw,sfp,nic_card_mount_2,sfp_port_0,task_board/nic_card_mount_2/sfp_port_0_link_entrance,base_link,/final_policy/triangulated_port_xyz,3,-0.38428100247958874,0.35009339302765885,0.17927229359740027,-0.38404648384308565,0.3507484060912151,0.1737346022859673,0.00023451863650308935,0.0006550130635562534,-0.005537691311432974,0.23451863650308935,0.6550130635562534,-5.537691311432974,0.23451863650308935,0.6550130635562534,5.537691311432974,0.005581224432417753,5.581224432417753
1782114147.310950,case_04_sfp_rail3_port1_near,sfp,nic_card_mount_3,sfp_port_1,task_board/nic_card_mount_3/sfp_port_1_link_entrance,base_link,/final_policy/triangulated_port_xyz,4,-0.4738216207775341,0.284703418458196,0.1792723903726392,-0.47399833932194024,0.2845253576542065,0.1776096769081504,-0.00017671854440615142,-0.0001780608039895215,-0.0016627134644887909,-0.17671854440615142,-0.1780608039895215,-1.6627134644887909,0.17671854440615142,0.1780608039895215,1.6627134644887909,0.0016815323841207286,1.6815323841207286
1782114176.314455,case_05_sfp_rail4_port0_offset,sfp,nic_card_mount_4,sfp_port_0,task_board/nic_card_mount_4/sfp_port_0_link_entrance,base_link,/final_policy/triangulated_port_xyz,5,-0.42481917891448223,0.33300611962274496,0.17927240803677247,-0.4700818034871588,0.34063889505062384,0.18249352688163648,-0.045262624572676546,0.0076327754278788795,0.003221118844864007,-45.26262457267654,7.6327754278788795,3.221118844864007,45.26262457267654,7.6327754278788795,3.221118844864007,0.046014563461498056,46.01456346149806
1782114189.134044,case_06_sfp_rail2_port1_wide_yaw,sfp,nic_card_mount_2,sfp_port_1,task_board/nic_card_mount_2/sfp_port_1_link_entrance,base_link,/final_policy/triangulated_port_xyz,6,-0.4725872744500679,0.3416007417230424,0.17927240460672378,-0.4653071975692969,0.260812069604992,0.028616163104030604,0.00728007688077098,-0.08078867211805041,-0.1506562415026932,7.280076880770981,-80.78867211805041,-150.65624150269318,7.280076880770981,80.78867211805041,150.65624150269318,0.17110555854707235,171.10555854707235
1782114196.578684,case_07_sc_rail0_left,sc,sc_port_0,sc_port_base,task_board/sc_port_0/sc_port_base_link_entrance,base_link,/final_policy/triangulated_port_xyz,7,-0.4648542673475212,0.25978530440166164,0.030139857556887417,-0.4097019287703225,0.2223454628379216,0.026211136636512485,0.0551523385771987,-0.037439841563740056,-0.003928720920374933,55.1523385771987,-37.43984156374005,-3.9287209203749325,55.1523385771987,37.43984156374005,3.9287209203749325,0.06677542238669935,66.77542238669935
1782114203.800714,case_08_sc_rail1_right,sc,sc_port_1,sc_port_base,task_board/sc_port_1/sc_port_base_link_entrance,base_link,/final_policy/triangulated_port_xyz,8,-0.40987360384138793,0.2207448323118589,0.03013985921737672,-0.4226549255849107,0.28516114802993475,0.027992058191570156,-0.012781321743522756,0.06441631571807585,-0.002147801025806563,-12.781321743522756,64.41631571807585,-2.147801025806563,12.781321743522756,64.41631571807585,2.147801025806563,0.06570720634335879,65.70720634335879
1782114211.054882,case_09_sc_rail0_center,sc,sc_port_0,sc_port_base,task_board/sc_port_0/sc_port_base_link_entrance,base_link,/final_policy/triangulated_port_xyz,9,-0.4228845251708835,0.28431195305255513,0.030139983028823147,-0.46820300691535116,0.26176319063752396,0.02816573182109318,-0.045318481744467676,-0.022548762415031176,-0.0019742512077299684,-45.318481744467675,-22.548762415031177,-1.9742512077299685,45.318481744467675,22.548762415031177,1.9742512077299685,0.05065677784763255,50.65677784763255
