episode_index,frame_index,phase,task_type,plug_to_port.translation.x,plug_to_port.translation.y,plug_to_port.translation.z,x_mm,y_mm,z_mm
0,0,approach,nic,0.07809130102396011,0.0027415871154516935,-0.08118876069784164,78.09130102396011,2.7415871154516935,-81.18876069784164
0,1,approach,nic,0.07670789957046509,0.0032486808486282825,-0.08107361942529678,76.70789957046509,3.2486808486282825,-81.07361942529678
0,2,approach,nic,0.07533231377601624,0.003557407297194004,-0.07966352999210358,75.33231377601624,3.557407297194004,-79.66352999210358
0,3,approach,nic,0.07398875057697296,0.0037553897127509117,-0.07796430587768555,73.98875057697296,3.7553897127509117,-77.96430587768555
0,4,approach,nic,0.07244683057069778,0.0039899591356515884,-0.07596251368522644,72.44683057069778,3.9899591356515884,-75.96251368522644
0,5,approach,nic,0.0707554891705513,0.00416451133787632,-0.07373199611902237,70.7554891705513,4.16451133787632,-73.73199611902237
0,6,approach,nic,0.06910505890846252,0.0043263062834739685,-0.07166638970375061,69.10505890846252,4.3263062834739685,-71.66638970375061
0,7,approach,nic,0.06773204356431961,0.004424217622727156,-0.0699588879942894,67.73204356431961,4.424217622727156,-69.9588879942894
0,8,approach,nic,0.06569993495941162,0.004454018548130989,-0.06741759926080704,65.69993495941162,4.454018548130989,-67.41759926080704
0,9,approach,nic,0.06341511756181717,0.004416357260197401,-0.064789779484272,63.41511756181717,4.416357260197401,-64.789779484272
0,10,approach,nic,0.060871075838804245,0.004503112751990557,-0.06202244758605957,60.871075838804245,4.503112751990557,-62.02244758605957
0,11,approach,nic,0.05817655473947525,0.004665756598114967,-0.05917130038142204,58.17655473947525,4.665756598114967,-59.17130038142204
0,12,approach,nic,0.05564461275935173,0.004679188597947359,-0.05648167431354523,55.64461275935173,4.679188597947359,-56.48167431354523
0,13,approach,nic,0.05327466130256653,0.004708272870630026,-0.05401657894253731,53.27466130256653,4.708272870630026,-54.01657894253731
0,14,approach,nic,0.05025502294301987,0.004504076205193996,-0.0508992001414299,50.25502294301987,4.504076205193996,-50.8992001414299
0,15,approach,nic,0.04759393632411957,0.004250771831721067,-0.04832453280687332,47.59393632411957,4.250771831721067,-48.32453280687332
0,16,approach,nic,0.04492919519543648,0.003984056878834963,-0.045759815722703934,44.92919519543648,3.984056878834963,-45.759815722703934
0,17,approach,nic,0.04197091609239578,0.0035869788844138384,-0.04296116530895233,41.97091609239578,3.5869788844138384,-42.96116530895233
0,18,approach,nic,0.03847827762365341,0.0030851932242512703,-0.03977971896529198,38.47827762365341,3.0851932242512703,-39.77971896529198
0,19,approach,nic,0.035246383398771286,0.0026232474483549595,-0.03706200793385506,35.246383398771286,2.6232474483549595,-37.06200793385506
0,20,approach,nic,0.03205372393131256,0.0022904907818883657,-0.03455069288611412,32.05372393131256,2.2904907818883657,-34.55069288611412
0,21,approach,nic,0.029024753719568253,0.002007413189858198,-0.03221150487661362,29.024753719568253,2.007413189858198,-32.21150487661362
0,22,approach,nic,0.026297984644770622,0.0016326912445947528,-0.030131224542856216,26.297984644770622,1.6326912445947528,-30.131224542856216
0,23,approach,nic,0.023344431072473526,0.0010113513562828302,-0.027832910418510437,23.344431072473526,1.0113513562828302,-27.832910418510437
0,24,approach,nic,0.020804034546017647,0.00045889144530519843,-0.025882679969072342,20.804034546017647,0.45889144530519843,-25.882679969072342
0,25,approach,nic,0.018669553101062775,-0.00011729997640941292,-0.02431103214621544,18.669553101062775,-0.11729997640941292,-24.31103214621544
0,26,approach,nic,0.0154326306656003,-0.0011304515646770597,-0.021900599822402,15.4326306656003,-1.1304515646770597,-21.900599822402
