checkpoint,task_type,n,ok_pct,xy_mean_mm,xy_p50_mm,xy_p90_mm,xy_p95_mm,xy_max_mm,x_mean_mm,x_std_mm,x_p05_mm,x_p50_mm,x_p95_mm,x_min_mm,x_max_mm,x_range_mm,y_mean_mm,y_std_mm,y_p05_mm,y_p50_mm,y_p95_mm,y_min_mm,y_max_mm,y_range_mm,z_mean_mm,z_std_mm,z_p05_mm,z_p50_mm,z_p95_mm,z_min_mm,z_max_mm,z_range_mm
first_insert,nic,5,80.0,2.745447625182492,1.3072252474096062,5.20684568695413,5.403261763159259,5.599677839364388,0.3465696470811963,3.009366705925326,-3.408726886846125,0.5274206632748246,4.396644164808094,-3.9386162534356117,5.183335859328508,9.12195211276412,-0.8724750456167385,1.2002502405387798,-2.3519988171756268,-0.351422670064494,0.5444428505143148,-2.410292159765959,0.7346830680035055,3.1449752277694643,-5.663240794092417,1.161117672255575,-7.021703105419874,-6.039747502654791,-4.198145028203726,-7.156298495829105,-4.117962904274464,3.0383355915546417
first_insert,sc,2,0.0,7.744861314489528,7.744861314489528,9.490009723307658,9.708153274409925,9.92629682551219,7.061665412038565,2.6964847929775715,4.63482909835875,7.061665412038565,9.488501725718379,4.365180619060993,9.758150205016136,5.392969585955143,-2.634247357491404,0.8149416535161436,-3.367694845655933,-2.634247357491404,-1.9007998693268746,-3.4491890110075474,-1.8193057039752603,1.6298833070322871,-8.045990078244358,6.32265763124451,-13.736381946364418,-8.045990078244358,-2.3555982101242994,-14.368647709488869,-1.7233324469998479,12.64531526248902
last_approach,nic,5,80.0,3.0150368131905836,2.2985369728507967,5.477950582827179,5.683128537473353,5.888306492119527,0.4981090023647994,3.311700303765472,-3.5512827802449465,-0.3740756365004927,4.999955696985125,-4.241498652845621,5.701079964637756,9.942578617483377,-0.5920192110352218,1.257359222926068,-2.1966545609757304,-0.7164294947870076,0.8771764230914414,-2.377558732405305,0.9263173560611904,3.3038760884664953,-5.799394100904465,1.0685474596017395,-7.061269413679838,-6.059502717107534,-4.4162508100271225,-7.178767584264278,-4.304610192775726,2.874157391488552
last_approach,sc,2,0.0,7.676493205737108,7.676493205737108,9.474824984015328,9.699616456300104,9.924407928584882,7.0377609226852655,2.717869123443961,4.5916787115857005,7.0377609226852655,9.48384313378483,4.319891799241304,9.755630046129227,5.435738246887922,-2.5550327845849097,0.7325193728320301,-3.2143002201337367,-2.5550327845849097,-1.8957653490360826,-3.2875521574169397,-1.8225134117528796,1.4650387456640601,-8.064005465712398,6.304410344455391,-13.73797477572225,-8.064005465712398,-2.3900361557025467,-14.36841581016779,-1.7595951212570071,12.608820688910782
