task_type,phase,n,x_min_mm,x_p01_mm,x_mean_mm,x_std_mm,x_p99_mm,x_max_mm,x_range_mm,y_min_mm,y_p01_mm,y_mean_mm,y_std_mm,y_p99_mm,y_max_mm,y_range_mm,z_min_mm,z_p01_mm,z_mean_mm,z_std_mm,z_p99_mm,z_max_mm,z_range_mm
nic,approach,247,-15.618040226399899,-15.059705544263124,7.850798457136414,19.749931178589925,74.71427470445632,78.09130102396011,93.70934125036001,-61.69411540031433,-43.3010546118021,0.09168738523497706,9.226164826706786,21.47571481764314,30.593305826187134,92.28742122650146,-139.2316073179245,-124.47660684585571,-26.69762019897521,32.843489898581126,-4.5858667977154255,-4.304610192775726,134.92699712514877
nic,insert,495,-4.853150341659784,-4.520896626636386,3.3726070035805202,4.6163881428018545,15.62524277716875,16.26717858016491,21.120328921824694,-9.184668771922588,-9.011993259191513,1.4188525443662938,6.302654498835979,17.57436916232109,17.910635098814964,27.095303870737553,-8.051835931837559,-7.720436649397016,-0.45243071188157746,4.333700777890562,14.957145508378744,16.072096303105354,24.123932234942913
sc,approach,171,-6.275546737015247,-6.162596540525556,14.236608095456049,19.375378904100227,64.45905938744545,65.0009959936142,71.27654273062944,-86.51431649923325,-85.60329228639603,-19.780180018695756,24.615261445890987,7.88844772614539,8.163784630596638,94.67810112982988,-274.4452953338623,-271.33738100528717,-86.65015279759288,92.45384743470083,-1.1705923709087074,-1.1389098362997174,273.3063854975626
sc,insert,278,3.803207306191325,3.95239036064595,10.15497491906042,2.3453503322870985,13.043795144185424,13.15408106893301,9.350873762741685,-38.034792989492416,-38.02486311644316,-19.296574090161904,16.230485416552384,-1.9858438242226821,-1.8193057039752603,36.215487285517156,-17.026906833052635,-16.877032686024904,-2.425235532611113,13.401698910166017,17.251148279756308,17.270958051085472,34.29786488413811
