sample_id,episode_index,frame_index,video_frame_index,checkpoint,task_type,camera,video_exists,frame_read,detected,detected_ok_conf,video_path,class_id,class_name,confidence,center_x,center_y,width_px,height_px,area_ratio,image_w,image_h
5,2,46,356,first_insert,nic,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,0,sfp_port,0.8442482948303223,121.54524993896484,150.10121154785156,15.381881713867188,10.75927734375,0.0022447093563944995,288.0,256.0
5,2,46,356,first_insert,nic,right,True,True,False,False,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,-1,,0.0,,,,,0.0,,
6,3,44,500,last_approach,nic,left,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,0,sfp_port,0.8957392573356628,149.91741180419922,145.1107177734375,15.262252807617188,11.27197265625,0.0023333834678851417,288.0,256.0
6,3,44,500,last_approach,nic,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,0,sfp_port,0.8893726468086243,121.0077133178711,154.53530883789062,15.063980102539062,10.381744384765625,0.0021211804313389215,288.0,256.0
6,3,44,500,last_approach,nic,right,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,0,sfp_port,0.8679541945457458,114.8612060546875,183.13593292236328,15.4920654296875,11.328933715820312,0.0023804874996484512,288.0,256.0
7,3,45,501,first_insert,nic,left,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,0,sfp_port,0.8968828320503235,150.8580780029297,145.7222671508789,15.308135986328125,11.136672973632812,0.0023123061023713693,288.0,256.0
7,3,45,501,first_insert,nic,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,0,sfp_port,0.8948085308074951,122.15578079223633,154.22736358642578,14.736503601074219,10.189987182617188,0.0020367402182554567,288.0,256.0
7,3,45,501,first_insert,nic,right,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.right_camera/chunk-000/file-000.mp4,0,sfp_port,0.8676235675811768,114.45003509521484,182.47705841064453,15.785659790039062,11.371780395507812,0.002434774529765112,288.0,256.0
8,4,45,646,last_approach,nic,left,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.left_camera/chunk-000/file-000.mp4,0,sfp_port,0.8570173382759094,151.40782928466797,142.56065368652344,16.167587280273438,11.911041259765625,0.0026119357525797365,288.0,256.0
8,4,45,646,last_approach,nic,center,True,True,True,True,/home/vsc/LLM_TUNE/AIC_Sejong/ws_aic/src/data/lerobot_entrance/v1.0/videos/observation.images.center_camera/chunk-000/file-000.mp4,0,sfp_port,0.8574743270874023,117.97990798950195,152.5025863647461,15.089668273925781,10.766494750976562,0.0022035432164876235,288.0,256.0
