timestamp,case_name,port_type,target_module_name,port_name,target_frame,base_frame,source,sample_id,gt_x_m,gt_y_m,gt_z_m,pred_x_m,pred_y_m,pred_z_m,dx_m,dy_m,dz_m,dx_mm,dy_mm,dz_mm,abs_dx_mm,abs_dy_mm,abs_dz_mm,error_3d_m,error_3d_mm
1784811409.584032,case_01_sfp_rail0_port0_left,sfp,nic_card_mount_0,sfp_port_0,task_board/nic_card_mount_0/sfp_port_0_link_entrance,base_link,/final_policy/triangulated_port_xyz,1,-0.4441594624637954,0.2117713277644392,0.17927239948576945,-0.4445859575988125,0.21165815245517394,0.17898866686271914,-0.0004264951350170798,-0.00011317530926524544,-0.00028373262305031455,-0.4264951350170798,-0.11317530926524544,-0.28373262305031455,0.4264951350170798,0.11317530926524544,0.28373262305031455,0.0005246055205614338,0.5246055205614338
1784811471.104775,case_02_sfp_rail1_port1_center,sfp,nic_card_mount_1,sfp_port_1,task_board/nic_card_mount_1/sfp_port_1_link_entrance,base_link,/final_policy/triangulated_port_xyz,2,-0.4435314808846518,0.2534854364604211,0.17927239904472536,-0.4434552993005945,0.25357452789018514,0.17775011908164556,7.61815840572555e-05,8.909142976404327e-05,-0.0015222799630797978,0.0761815840572555,0.08909142976404327,-1.5222799630797978,0.0761815840572555,0.08909142976404327,1.5222799630797978,0.0015267865609184228,1.5267865609184228
1784811537.300100,case_03_sfp_rail2_port0_far_yaw,sfp,nic_card_mount_2,sfp_port_0,task_board/nic_card_mount_2/sfp_port_0_link_entrance,base_link,/final_policy/triangulated_port_xyz,3,-0.38428100247958874,0.35009339302765885,0.17927229359740027,-0.3843536579925788,0.34945690466575136,0.178063578711609,-7.265551299007189e-05,-0.0006364883619074946,-0.0012087148857912733,-0.07265551299007189,-0.6364883619074946,-1.2087148857912733,0.07265551299007189,0.6364883619074946,1.2087148857912733,0.0013679868177526226,1.3679868177526227
1784811617.868777,case_04_sfp_rail3_port1_near,sfp,nic_card_mount_3,sfp_port_1,task_board/nic_card_mount_3/sfp_port_1_link_entrance,base_link,/final_policy/triangulated_port_xyz,4,-0.4738216207775341,0.284703418458196,0.1792723903726392,-0.47276398016346577,0.2844780700358707,0.17942514944686327,0.0010576406140683225,-0.00022534842232529995,0.00015275907422407364,1.0576406140683225,-0.22534842232529995,0.15275907422407364,1.0576406140683225,0.22534842232529995,0.15275907422407364,0.0010921176286138395,1.0921176286138394
1784811770.059483,case_05_sfp_rail4_port0_offset,sfp,nic_card_mount_4,sfp_port_0,task_board/nic_card_mount_4/sfp_port_0_link_entrance,base_link,/final_policy/triangulated_port_xyz,5,-0.42481917891448223,0.33300611962274496,0.17927240803677247,-0.42481884162020583,0.3319612036119799,0.1772786941825877,3.3729427639794807e-07,-0.0010449160107650624,-0.0019937138541847588,0.00033729427639794807,-1.0449160107650624,-1.9937138541847588,0.00033729427639794807,1.0449160107650624,1.9937138541847588,0.0022509430280859724,2.2509430280859726
1784811987.417705,case_06_sfp_rail2_port1_wide_yaw,sfp,nic_card_mount_2,sfp_port_1,task_board/nic_card_mount_2/sfp_port_1_link_entrance,base_link,/final_policy/triangulated_port_xyz,6,-0.4725872744500679,0.3416007417230424,0.17927240460672378,-0.4653127683115118,0.26106561898519154,0.02759601861641755,0.007274506138556069,-0.08053512273785085,-0.15167638599030622,7.274506138556069,-80.53512273785086,-151.67638599030622,7.274506138556069,80.53512273785086,151.67638599030622,0.17188528296814987,171.88528296814985
1784812081.472609,case_07_sc_rail0_left,sc,sc_port_0,sc_port_base,task_board/sc_port_0/sc_port_base_link_entrance,base_link,/final_policy/triangulated_port_xyz,7,-0.4648542673475212,0.25978530440166164,0.030139857556887417,-0.4091606449154974,0.22295761181147575,0.025648325630518477,0.055693622432023804,-0.036827692590185895,-0.00449153192636894,55.6936224320238,-36.8276925901859,-4.49153192636894,55.6936224320238,36.8276925901859,4.49153192636894,0.06691959638374734,66.91959638374733
1784812170.244088,case_08_sc_rail1_right,sc,sc_port_1,sc_port_base,task_board/sc_port_1/sc_port_base_link_entrance,base_link,/final_policy/triangulated_port_xyz,8,-0.40987360384138793,0.2207448323118589,0.03013985921737672,-0.422916649233432,0.2856161407386518,0.027047068985808234,-0.01304304539204404,0.06487130842679292,-0.0030927902315684846,-13.04304539204404,64.87130842679292,-3.0927902315684848,13.04304539204404,64.87130842679292,3.0927902315684848,0.06624177716154286,66.24177716154287
1784812254.651060,case_09_sc_rail0_center,sc,sc_port_0,sc_port_base,task_board/sc_port_0/sc_port_base_link_entrance,base_link,/final_policy/triangulated_port_xyz,9,-0.4228845251708835,0.28431195305255513,0.030139983028823147,-0.4677345920884679,0.2617623787584079,0.03000420399853183,-0.04485006691758442,-0.022549574294147223,-0.00013577903029131713,-44.85006691758442,-22.549574294147224,-0.13577903029131713,44.85006691758442,22.549574294147224,0.13577903029131713,0.05019990278181953,50.19990278181953
1784815051.655138,case_07_sc_rail0_left,sc,sc_port_0,sc_port_base,task_board/sc_port_0/sc_port_base_link_entrance,base_link,/final_policy/triangulated_port_xyz,10,-0.4648542673475212,0.25978530440166164,0.030139857556887417,-0.46513765301289794,0.2608065346440661,0.028250220388194757,-0.00028338566537672305,0.0010212302424044695,-0.00188963716869266,-0.28338566537672305,1.0212302424044695,-1.88963716869266,0.28338566537672305,1.0212302424044695,1.88963716869266,0.002166551931675609,2.166551931675609
