camera,n,image_exists_pct,detected_pct,conf_mean,conf_p10,conf_p50,conf_p90,area_mean
left,1120,100.0,63.83928571428571,0.5570997149816581,0.0,0.869344174861908,0.8901892900466919,0.0015185685668388908
center,1120,100.0,70.35714285714286,0.5941182539931366,0.0,0.8389066159725189,0.8775256156921387,0.0015776418641168014
right,1120,100.0,8.035714285714286,0.061524371643151554,0.0,0.0,0.0,0.0001828547180955051
